Word, Count
b'increase',3
b'jobcrushing',1
b'devotion',1
b'power',1
b'around',1
b'poorest',2
b'radical',1
b'treatment',1
b'plagued',1
b'overseas',2
b'price',3
b'ballistic',1
b'USA',1
b'theyre',1
b'embrace',1
b'evening',1
b'symbol',1
b'first',5
b'small',2
b'begun',1
b'repeal',1
b'Thirdly',1
b'said',4
b'promises',3
b'bold',1
b'my',7
b'salute',1
b'Director',1
b'jet',1
b'accounts',1
b'His',1
b'increases',1
b'Later',1
b'taxpayers',3
b'persons',1
b'Edison',1
b'getting',1
b'Germany',1
b'reminded',1
b'ugly',1
b'among',1
b'legislation',1
b'over',4
b'250th',4
b'worst',1
b'project',1
b'once',2
b'ride',1
b'such',1
b'witnessing',1
b'100',1
b'Special',1
b'Remember',1
b'Chief',1
b'public',3
b'watching',1
b'dismantle',1
b'illness',1
b'that\xe2\x80\x94and',2
b'became',2
b'cross',1
b'case',1
b'Jenna',4
b'election',2
b'torch',2
b'tools',1
b'keeping',1
b'enrolled',1
b'hope',3
b'pure',1
b'Danny',1
b'lifetime',2
b'wealth',1
b'course',1
b'are',37
b'us',19
b'lifted',1
b'affordable',1
b'Police',1
b'is',58
b'solved',1
b'any',2
b'hearts',1
b'Supreme',1
b'rebirth',1
b'William',1
b'blood',1
b'I',38
b'Maureen',2
b'expected',1
b'To',6
b'indeed',1
b'audience',2
b'relief',1
b'motorcycles',2
b'250',2
b'team',1
b'criminal',2
b'has',13
b'graduate',1
b'provided',1
b'means',1
b'Governors',1
b'making',1
b'footprints',1
b'based',2
b'murdered',1
b'savages',1
b'currently',1
b'Oliver',4
b'ISIS',1
b'private',3
b'Finally',3
b'path',2
b'Mattis',1
b'17yearold',1
b'slain',1
b'2015',1
b'develop',2
b'pillars',1
b'playing',1
b'raise',2
b'survivor',1
b'Recent',1
b'fighting',1
b'Drug',1
b'words',1
b'hurting',1
b'Graham',1
b'way',4
b'taking',1
b'lived',1
b'preexisting',1
b'year',9
b'Congress',8
